title_key,media_type,title,release_date,vote_average,vote_count,popularity
movie:293660,movie,Deadpool,2016-02-09,7.625,33187,29.687
movie:13475,movie,Star Trek,2009-05-06,7.436,10677,13.7912
movie:711340,movie,Uncle Tom,2020-06-19,7.75,34,1.4825
movie:497582,movie,Enola Holmes,2020-09-22,7.22,6782,11.7542
movie:558,movie,Spider-Man 2,2004-06-25,7.327,16802,19.7174
movie:118,movie,Charlie and the Chocolate Factory,2005-07-13,7.037,16324,21.542
movie:948,movie,Halloween,1978-10-24,7.558,6307,17.3303
tv:63247,tv,Westworld,2016-10-02,8.016,6341,57.0232
movie:271110,movie,Captain America: Civil War,2016-04-27,7.453,24459,45.002
movie:15,movie,Citizen Kane,1941-04-17,7.969,6184,9.9349
movie:36657,movie,X-Men,2000-07-13,7.021,12443,1.7531
movie:348,movie,Alien,1979-05-25,8.172,16736,27.5667
tv:48866,tv,The 100,2014-03-19,7.879,8760,69.4123
movie:401114,movie,Endless Corridor,2014-06-07,5.857,7,1.6492
movie:1966,movie,Alexander,2004-11-21,5.96,3590,11.4801
movie:1777,movie,Fahrenheit 9/11,2004-06-25,7.085,1550,2.8765
movie:508442,movie,Soul,2020-12-25,8.089,11661,18.2581
movie:8645,movie,The Happening,2008-06-11,5.409,4071,11.0859
movie:315635,movie,Spider-Man: Homecoming,2017-07-05,7.333,23768,75.5213
tv:89233,tv,Away,2020-09-04,6.549,370,6.7481
movie:180,movie,Minority Report,2002-06-20,7.355,9863,11.7729
movie:5491,movie,Battlefield Earth,2000-05-12,3.337,959,4.9163
tv:103051,tv,Paatal Lok,2020-05-15,7.5,119,11.6229
movie:9740,movie,Hannibal,2001-02-08,6.777,5302,2.7177
movie:7131,movie,Van Helsing,2004-05-03,6.423,6811,12.9198
movie:13183,movie,Watchmen,2009-03-04,7.355,10203,12.781
movie:869,movie,Planet of the Apes,2001-07-26,5.777,4523,10.5209
tv:83125,tv,Cursed,2020-07-16,7.144,993,8.4045
movie:456740,movie,Hellboy,2019-04-10,5.573,3780,9.6389
movie:86834,movie,Noah,2014-03-07,5.68,6707,10.4798
movie:807,movie,Se7en,1995-09-22,8.38,23640,31.63
movie:1018,movie,Mulholland Drive,2001-06-06,7.799,7234,15.6704
tv:68421,tv,Altered Carbon,2018-02-02,7.636,2354,18.0271
tv:107590,tv,Flesh,2020-08-21,5.0,3,1.5988
movie:286217,movie,The Martian,2015-09-30,7.706,21699,24.3541
movie:629,movie,The Usual Suspects,1995-07-19,8.164,11665,20.1226
movie:1726,movie,Iron Man,2008-04-30,7.663,28671,44.9431
movie:419704,movie,Ad Astra,2019-09-17,6.133,7372,6.7305
movie:369972,movie,First Man,2018-10-10,7.038,5773,9.966
movie:485774,movie,The Open House,2018-01-19,3.703,1439,2.5465
movie:424783,movie,Bumblebee,2018-11-22,6.73,6796,13.4455
movie:501170,movie,Doctor Sleep,2019-10-30,7.146,5011,9.7574
movie:129,movie,Spirited Away,2001-07-20,8.5,18771,33.6106
movie:1124,movie,The Prestige,2006-10-19,8.211,18009,24.9031
tv:79611,tv,Charmed,2018-10-14,7.205,491,21.2557
movie:383498,movie,Deadpool 2,2018-05-15,7.489,19562,27.1571
movie:99861,movie,Avengers: Age of Ultron,2015-04-22,7.276,24903,53.2995
tv:88052,tv,Black Summer,2019-04-11,6.923,629,9.3363
movie:590404,movie,Chhapaak,2020-01-10,7.162,37,1.0073
movie:769,movie,GoodFellas,1990-09-12,8.45,14672,24.7352
movie:11324,movie,Shutter Island,2010-02-14,8.197,26307,25.2335
movie:7345,movie,There Will Be Blood,2007-12-26,8.063,7643,13.7204
movie:10764,movie,Quantum of Solace,2008-10-29,6.342,8711,11.9158
movie:274,movie,The Silence of the Lambs,1991-02-14,8.345,18381,8.3791
movie:453,movie,A Beautiful Mind,2001-12-14,7.852,11305,15.0924
movie:331,movie,Jurassic Park III,2001-07-18,6.178,8028,0.692
movie:285,movie,Pirates of the Caribbean: At World's End,2007-05-19,7.3,15748,24.5741
movie:1903,movie,Vanilla Sky,2001-12-14,6.83,4802,10.41
tv:85922,tv,Space Force,2020-05-29,6.506,867,13.2584
movie:679,movie,Aliens,1986-07-18,7.966,11104,18.6933
movie:338970,movie,Tomb Raider,2018-03-05,6.364,8480,12.4565
movie:118340,movie,Guardians of the Galaxy,2014-07-30,7.908,30191,20.9798
movie:44214,movie,Black Swan,2010-12-03,7.7,15790,15.3836
movie:10681,movie,WALL·E,2008-06-26,8.121,20738,29.2251
tv:79242,tv,Chilling Adventures of Sabrina,2018-10-26,8.163,3801,27.6523
tv:78191,tv,You,2018-09-09,8.003,4055,53.6056
movie:664413,movie,365 Days,2020-02-07,6.99,9576,9.8118
movie:539,movie,Psycho,1960-06-22,8.408,11201,20.5956
movie:359724,movie,Ford v Ferrari,2019-11-13,8.007,9226,16.2518
